"keyword","volume","keyword_difficulty","cost_per_click","competitive_density","results","serp_features","date"
"amazon great indian sale","49500","80.97","0.06","0.48","79","Images | Reviews | Video","2019-02-25 "
"amazon great indian festival sale","6600","87.99","0.05","0.94","75","Images | Reviews | Video","2019-02-25 "
"amazon great indian sale offers","2900","85.52","0.06","0.7","90","Images Reviews","2019-02-25 "
"amazon great indian sale date","1600","0","0.06","0.44","0","","2019-02-25 "
"amazon great indian freedom sale","1000","87.9","0.07","0.6","19700000","Images | Reviews | Video","2019-02-25 "
"amazon great indian sale mobile","1000","0","0.07","0.99","0","","2019-02-25 "
"amazon great indian sale dates","720","80.42","0.16","0.11","277000000","Images | Reviews","2019-02-25 "
"amazon great indian sale offers today","320","77.54","0.06","1","88","Images | Reviews | Video","2019-02-25 "
"amazon offers great indian sale","260","0","0.04","0.67","0","","2019-02-25 "
"next amazon great indian sale","260","70.89","0.33","0.06","94","Images| Reviews | Video","2019-02-25 "
"upcoming amazon great indian sale","260","0","0.07","0.9","0","","2019-02-25 "
"great indian sale amazon deals","140","0","0.02","0.69","0","","2019-02-25 "
"amazon com the great indian sale","70","0","0.05","0.71","0","","2019-02-25 "
"amazon great indian sale today","70","0","0.04","0.98","0","","2019-02-25 "
"amazon great indian sale today offer","70","0","0.04","1","0","","2019-02-25 "
"great indian sale at amazon","70","0","0.03","0.97","0","","2019-02-25 "
"chandra grahan 2019","10","0","0","0","0","","2019-02-25 "
"chandra grahan 2019 dates and time","10","0","0","0","0","","2019-02-25 "
"chandra grahan date and time 2019","0","0","0","0","0","","2019-02-25 "
"chandra grahan in india 2019","0","0","0","0","0","","2019-02-25 "
"total chandra grahan dates 2019","0","0","0","0","0","","2019-02-25 "
"amazon great indian sale 2019","50","0","0.03","0.29","0","","2019-02-25 "
"bpl list 2019","260","0","0.01","0.42","0","","2019-02-25 "
"bpl 2019","170","0","0.02","0.05","0","","2019-02-25 "
"bpl 2019 schedule","70","0","0","0","0","","2019-02-25 "
"bangladesh premier league bpl 2019","30","0","0","0","0","","2019-02-25 "
"bpl league 2018 2019","0","0","0","0","0","","2019-02-25 "
"bpl league table 2018 2019","0","0","0","0","0","","2019-02-25 "
"bpl league table 2019","0","0","0","0","0","","2019-02-25 "
"bpl teams 2019","0","0","0","0","0","","2019-02-25 "
"shivakumara swami","1300","0","0","0","0","","2019-02-25 "
"swami shivakumara","90","0","0","0","0","","2019-02-25 "
"siddaganga swamiji","880","69.03","0","0","79","Knowledge Panel  | Reviews","2019-02-25 "
"siddaganga swamiji photos","480","0","0","0","0","","2019-02-25 "
"siddaganga swamiji history","110","0","0","0","0","","2019-02-25 "
"siddaganga swamiji darshan timings","30","0","0","0","0","","2019-02-25 "
"sri siddaganga swamiji","30","0","0","0","0","","2019-02-25 "
"siddaganga mutt swamiji name","20","0","0","0","0","","2019-02-25 "
"siddaganga swamiji birthday","20","0","0","0","0","","2019-02-25 "
"siddaganga swamiji hd images","20","0","0","0.19","0","","2019-02-25 "
"siddaganga mutt swamiji darshan","10","0","0","0","0","","2019-02-25 "
"siddaganga shivakumara swamiji images","10","0","0","0","0","","2019-02-25 "
"siddaganga shivakumara swamiji videos","0","0","0","0","0","","2019-02-25 "
"siddaganga swamiji hd photos","0","0","0","0","0","","2019-02-25 "
"farheen prabhakar","260","78.33","0","0","99","Knowledge Panel | Video","2019-02-25 "
"farheen manoj prabhakar","90","0","0","0","0","","2019-02-25 "
"manoj prabhakar married actress farheen","70","0","0","0","0","","2019-02-25 "
"farheen prabhakar images","50","0","0","0","0","","2019-02-25 "
"actress farheen prabhakar","30","0","0","0","0","","2019-02-25 "
"manoj prabhakar farheen","30","0","0","0","0","","2019-02-25 "
"farheen prabhakar photos","20","0","0","0","0","","2019-02-25 "
"farheen actress married manoj prabhakar","10","0","0","0","0","","2019-02-25 "
"manoj prabhakar and farheen","10","0","0","0","0","","2019-02-25 "
"actress farheen prabhakar marriage photos","0","0","0","0","0","","2019-02-25 "
"farheen and manoj prabhakar","0","0","0","0","0","","2019-02-25 "
"farheen khan manoj prabhakar wife","0","0","0","0","0","","2019-02-25 "
